status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
video,1/1/2018 12:00,24062,375,2896,20267,3603,181,9,2,0
video,12/29/2017 6:34,2653,23,119,2372,262,19,0,0,0
video,12/23/2017 12:00,3443,36,159,3047,361,31,3,1,0
photo,12/22/2017 12:00,6487,72,394,5684,730,69,4,0,0
link,12/19/2017 12:00,5002,62,226,4507,460,33,2,0,0
video,12/18/2017 12:00,3167,33,165,2876,267,22,2,0,0
video,12/15/2017 12:00,3363,44,289,2980,347,30,6,0,0
photo,12/14/2017 12:00,8915,81,528,7707,1089,114,4,1,0
photo,12/12/2017 12:03,5017,36,288,4403,564,50,0,0,0
video,12/11/2017 12:00,63445,488,2951,59393,3586,412,36,7,11
video,12/9/2017 12:00,54202,656,4287,48258,4763,1127,38,5,11
video,12/8/2017 12:00,95844,1773,13660,84951,9210,1593,60,19,11
photo,12/7/2017 12:00,78151,344,1379,73280,4421,391,40,8,11
photo,12/6/2017 14:57,76169,232,816,72799,2847,465,42,9,7
photo,12/5/2017 13:27,2501,16,120,2177,304,17,2,0,1
video,12/4/2017 12:00,2580,25,229,2206,342,29,2,1,0
video,12/3/2017 12:00,4521,30,353,3844,610,65,1,0,1
photo,11/30/2017 12:00,6171,108,420,5206,699,260,5,1,0
photo,11/28/2017 12:00,2477,26,106,2234,229,14,0,0,0
link,11/27/2017 12:00,4526,195,355,3970,512,41,3,0,0
photo,11/26/2017 12:00,17840,437,1215,14924,2652,253,8,2,1
photo,11/25/2017 12:05,6719,57,251,5985,666,60,5,2,1
photo,11/24/2017 12:00,2092,16,62,1903,173,5,10,0,1
video,11/23/2017 12:00,6595,70,508,5788,745,54,6,2,0
video,11/20/2017 12:00,9043,164,1381,7854,1108,76,5,0,0
video,11/19/2017 12:00,8087,122,362,7234,768,80,3,2,0
video,11/18/2017 12:00,10268,211,821,9028,1138,95,5,1,1
video,11/16/2017 12:00,9809,187,1158,8245,1440,113,7,2,2
video,11/13/2017 12:00,11654,309,1725,9931,1555,155,11,2,0
photo,11/12/2017 12:00,7071,105,2181,6112,876,78,5,0,0
video,11/9/2017 12:00,11877,148,1815,10357,1399,113,8,0,0
photo,11/7/2017 12:00,6027,74,354,5362,604,58,3,0,0
video,11/6/2017 12:00,60440,822,2586,56294,3605,452,58,17,14
video,11/3/2017 12:00,3153,42,271,2779,331,38,3,1,1
photo,10/30/2017 12:00,7417,75,291,6526,797,91,2,1,0
video,10/19/2017 11:00,9568,162,628,8538,930,97,3,0,0
video,10/17/2017 11:00,4674,55,491,4245,407,19,2,0,0
video,10/11/2017 12:45,6066,79,620,5393,618,52,2,1,0
photo,10/10/2017 5:42,3687,61,195,3288,376,22,0,1,0
photo,10/9/2017 11:00,7103,46,298,6493,572,40,0,0,1
photo,10/8/2017 11:05,8040,137,538,7224,737,65,10,2,2
video,10/7/2017 11:00,10519,188,1597,9142,1268,92,14,2,0
video,10/6/2017 11:00,92753,1665,11130,81860,9208,1478,142,37,28
video,10/5/2017 11:00,172857,2881,12572,154625,14220,3244,595,100,73
video,10/4/2017 9:06,86418,2860,19394,72976,10727,2478,193,28,16
photo,10/3/2017 14:13,67884,271,1841,63131,4355,353,38,6,1
photo,9/29/2017 11:00,6192,75,244,5516,621,53,2,0,0
link,9/27/2017 11:00,2871,39,199,2639,215,16,1,0,0
photo,9/26/2017 20:56,9717,52,419,8638,983,89,5,1,1
photo,9/25/2017 21:05,10494,119,426,9446,944,94,8,1,1
video,9/18/2017 11:00,20964,638,3101,17867,2889,189,10,4,5
video,9/16/2017 11:00,19236,646,2059,16269,2748,203,13,2,1
video,9/15/2017 11:00,17558,860,2353,14044,3196,294,11,6,7
video,9/12/2017 14:34,58204,1058,4098,53254,3794,1062,71,15,8
photo,9/11/2017 21:06,43720,399,1217,39397,4010,287,20,3,3
video,9/5/2017 11:00,6358,121,697,5543,759,41,8,0,7
photo,9/4/2017 11:00,12464,253,545,10776,1544,104,11,7,22
video,9/2/2017 11:00,13670,372,3604,11006,2453,185,14,6,6
photo,9/1/2017 11:00,17600,392,676,15587,1831,146,19,7,10
video,8/29/2017 22:30,8077,89,706,7239,775,58,4,1,0
photo,8/29/2017 20:29,65397,291,1691,62366,2634,341,44,6,5
video,8/19/2017 22:09,72358,742,4505,67541,4409,328,57,10,13
photo,8/19/2017 9:20,6347,103,781,5284,914,138,9,1,1
link,8/11/2017 11:00,1917,45,89,1752,147,17,1,0,0
link,8/6/2017 11:00,4774,85,252,4240,493,39,2,0,0
video,8/4/2017 11:00,4077,39,448,3613,418,41,5,0,0
photo,7/29/2017 11:00,8278,79,385,7488,746,41,2,0,1
photo,7/28/2017 23:00,4954,53,207,4533,387,33,1,0,0
photo,7/28/2017 11:00,10434,141,403,9400,933,96,4,0,1
video,7/26/2017 11:00,9247,104,778,8182,970,93,2,0,0
photo,7/24/2017 21:28,42843,426,1426,39094,3438,254,44,8,5
video,7/24/2017 11:00,5972,58,745,5222,714,30,6,0,0
link,7/23/2017 11:04,1030,24,61,929,101,0,0,0,0
link,7/22/2017 11:28,3468,41,213,3073,368,24,3,0,0
video,7/18/2017 22:43,62408,1128,3490,57192,4527,545,103,22,19
video,7/8/2017 10:59,16709,273,2924,14205,2297,193,11,1,2
video,7/7/2017 8:10,462677,7867,64788,375849,61581,24039,529,213,458
video,7/6/2017 14:27,327020,2787,20468,293724,28920,3942,313,52,62
video,7/5/2017 10:58,497838,8207,55979,436094,52245,8871,459,96,67
photo,7/4/2017 12:00,908718,3900,20596,854778,47214,5970,583,104,68
photo,7/1/2017 11:00,359140,2020,6460,341886,12894,4179,138,21,18
video,6/30/2017 17:38,5344,49,421,4670,612,56,3,0,1
video,6/26/2017 14:12,64611,2420,11917,50751,12743,997,64,20,12
video,6/23/2017 13:31,21357,316,3116,17701,3395,231,14,3,1
photo,6/21/2017 21:32,7639,82,381,6513,1066,48,6,0,2
video,6/20/2017 11:00,16504,210,936,15095,1053,332,12,8,1
video,6/18/2017 21:45,25003,263,1564,23130,1721,135,8,2,0
video,6/16/2017 10:09,7242,102,484,6447,679,109,4,0,0
video,6/15/2017 11:00,8452,148,750,7315,1043,67,8,0,2
video,6/14/2017 11:00,9576,140,784,8381,1072,43,7,3,3
video,6/13/2017 11:00,10590,202,1018,9177,1222,72,17,1,6
link,6/12/2017 11:00,2434,31,183,2220,191,19,0,0,1
link,6/11/2017 11:00,4634,37,178,4264,341,24,0,0,0
video,6/10/2017 11:00,8401,75,488,7542,776,62,3,1,0
photo,6/8/2017 20:11,13287,135,534,11816,1341,106,9,3,7
video,6/6/2017 15:53,76119,2318,8084,62204,13192,511,154,16,19
video,6/3/2017 11:00,14430,225,1027,12743,1369,281,33,2,1
video,6/3/2017 5:00,4029,25,235,3630,379,19,0,0,0
video,6/2/2017 21:41,9036,91,1087,7890,1052,90,1,0,1
video,6/1/2017 14:35,9717,100,869,8553,1086,68,6,0,2
video,5/31/2017 12:01,9430,70,846,8404,968,51,4,0,2
video,5/29/2017 10:16,81583,945,5872,75539,5250,672,75,19,15
photo,5/28/2017 19:07,16284,113,588,14865,1293,108,11,5,0
link,5/27/2017 11:00,4181,26,230,3872,297,10,1,0,0
link,5/26/2017 11:00,10597,105,539,9551,950,91,2,0,0
video,5/25/2017 22:56,10785,108,1023,9503,1189,74,11,1,1
photo,5/25/2017 16:27,16284,113,588,14865,1293,108,11,5,0
photo,5/24/2017 10:39,16284,113,588,14865,1293,108,11,5,0
photo,5/21/2017 20:11,8190,488,237,6998,752,82,291,33,33
video,5/20/2017 15:48,31767,456,4054,27183,4144,405,27,3,5
photo,5/19/2017 22:12,16284,113,588,14865,1293,108,11,5,0
photo,5/18/2017 12:56,8423,155,260,7652,689,45,27,5,4
video,5/15/2017 10:37,13611,169,1563,12099,1379,34,15,2,11
photo,5/10/2017 11:00,9814,225,539,8583,1071,43,18,10,64
link,5/9/2017 11:00,5824,57,338,5300,469,34,3,2,0
video,5/8/2017 11:00,6151,57,443,5616,441,71,8,1,1
video,5/5/2017 11:17,261837,2765,24738,232472,26001,3012,214,50,33
video,5/4/2017 10:39,188042,4134,30459,164502,20111,3088,177,52,46
photo,5/3/2017 13:36,610603,3162,19054,573664,32629,4003,236,47,18
video,4/30/2017 15:04,6321,42,345,5725,552,40,3,0,0
video,4/29/2017 15:51,5249,33,311,4750,462,34,1,0,1
video,4/28/2017 22:56,6360,42,303,5813,509,32,4,2,0
video,4/28/2017 12:00,6543,35,300,5996,518,27,2,0,0
video,4/27/2017 20:14,5559,48,339,5101,432,20,4,0,1
photo,4/26/2017 15:21,5879,64,250,5321,483,61,8,2,4
video,4/24/2017 12:31,64104,1356,4703,57977,5065,605,235,44,67
video,4/21/2017 13:05,4335,35,204,3986,324,25,0,0,0
video,4/20/2017 11:33,4746,36,254,4328,394,21,3,0,0
photo,4/19/2017 10:22,5019,44,151,4667,331,19,2,0,0
video,4/17/2017 10:47,39279,603,2376,36777,2110,202,115,37,33
link,4/16/2017 11:01,4636,48,242,4286,322,24,1,3,0
video,4/15/2017 11:00,5630,52,555,5079,484,63,3,1,0
video,4/14/2017 10:55,3011,23,167,2766,236,7,2,0,0
video,4/13/2017 10:07,14748,159,3253,12564,1942,226,7,0,1
photo,4/12/2017 10:04,4905,49,178,4435,451,17,2,0,0
photo,4/11/2017 11:30,14947,78,717,13411,1434,99,2,1,0
video,4/10/2017 13:15,169128,3344,14810,144560,22155,1975,306,42,80
video,4/10/2017 8:42,62325,642,2701,56418,4998,804,50,14,11
photo,4/8/2017 11:00,58361,367,1020,55324,2720,256,26,7,7
video,4/7/2017 8:53,11091,60,700,9843,1177,64,2,2,3
video,4/6/2017 11:12,5718,64,359,5103,561,42,8,0,4
